2025-06-20 13:34:19,668 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=210.67s
2025-06-20 13:34:19,668 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=210.67s
2025-06-20 13:34:19,860 - PERF - PERIODIC_METRICS: CPU=0.55%, Memory=25.87MB, Files/min=0.00
2025-06-20 13:34:19,860 - PERF - PERIODIC_METRICS: CPU=0.55%, Memory=25.87MB, Files/min=0.00
2025-06-20 13:34:32,628 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=223.63s
2025-06-20 13:34:32,628 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=223.63s
2025-06-20 13:34:32,628 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=223.63s
2025-06-20 13:34:49,353 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=240.35s
2025-06-20 13:34:49,353 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=240.35s
2025-06-20 13:34:49,353 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=240.35s
2025-06-20 13:34:49,353 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=240.35s
2025-06-20 23:46:33,627 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=237.97s
2025-06-20 23:46:33,627 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=237.97s
2025-06-20 23:46:33,805 - PERF - PERIODIC_METRICS: CPU=0.58%, Memory=23.41MB, Files/min=0.00
2025-06-20 23:46:33,805 - PERF - PERIODIC_METRICS: CPU=0.58%, Memory=23.41MB, Files/min=0.00
2025-06-23 13:04:25,767 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=112.47s
2025-06-23 13:04:25,767 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=112.47s
2025-06-23 13:04:25,767 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=112.47s
2025-06-23 13:04:25,923 - PERF - PERIODIC_METRICS: CPU=5.61%, Memory=145.03MB, Files/min=0.00
2025-06-23 13:04:25,923 - PERF - PERIODIC_METRICS: CPU=5.61%, Memory=145.03MB, Files/min=0.00
2025-06-23 13:04:25,923 - PERF - PERIODIC_METRICS: CPU=5.61%, Memory=145.03MB, Files/min=0.00
2025-06-23 13:05:23,168 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=169.87s
2025-06-23 13:05:23,168 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=169.87s
2025-06-23 13:05:23,168 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=169.87s
2025-06-23 13:05:23,168 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=169.87s
2025-06-23 13:05:23,168 - PERF - FILES_PER_MINUTE: 0.00, Total_Files=0, Elapsed_Time=169.87s
2025-06-23 13:05:23,329 - PERF - PERIODIC_METRICS: CPU=5.45%, Memory=85.17MB, Files/min=0.00
2025-06-23 13:05:23,329 - PERF - PERIODIC_METRICS: CPU=5.45%, Memory=85.17MB, Files/min=0.00
2025-06-23 13:05:23,329 - PERF - PERIODIC_METRICS: CPU=5.45%, Memory=85.17MB, Files/min=0.00
2025-06-23 13:05:23,329 - PERF - PERIODIC_METRICS: CPU=5.45%, Memory=85.17MB, Files/min=0.00
2025-06-23 13:05:23,329 - PERF - PERIODIC_METRICS: CPU=5.45%, Memory=85.17MB, Files/min=0.00
2025-06-23 13:15:07,694 - PERF - FILE_PROCESSING_TIME: Current=7654.93ms, Average=7654.93ms, Total_Files=1
2025-06-23 13:15:07,694 - PERF - FILE_PROCESSING_TIME: Current=7654.93ms, Average=7654.93ms, Total_Files=1
2025-06-23 13:15:07,694 - PERF - FILE_PROCESSING_TIME: Current=7654.93ms, Average=7654.93ms, Total_Files=1
2025-06-23 13:15:07,694 - PERF - FILE_PROCESSING_TIME: Current=7654.93ms, Average=7654.93ms, Total_Files=1
2025-06-23 13:15:07,694 - PERF - FILE_PROCESSING_TIME: Current=7654.93ms, Average=7654.93ms, Total_Files=1
2025-06-23 13:15:07,694 - PERF - FILE_PROCESSING_TIME: Current=7654.93ms, Average=7654.93ms, Total_Files=1
2025-06-23 14:13:18,086 - PERF - FILES_PER_MINUTE: 0.03, Total_Files=2, Elapsed_Time=4244.78s
2025-06-23 14:13:18,086 - PERF - FILES_PER_MINUTE: 0.03, Total_Files=2, Elapsed_Time=4244.78s
2025-06-23 14:13:18,086 - PERF - FILES_PER_MINUTE: 0.03, Total_Files=2, Elapsed_Time=4244.78s
2025-06-23 14:13:18,086 - PERF - FILES_PER_MINUTE: 0.03, Total_Files=2, Elapsed_Time=4244.78s
2025-06-23 14:13:18,086 - PERF - FILES_PER_MINUTE: 0.03, Total_Files=2, Elapsed_Time=4244.78s
2025-06-23 14:13:18,086 - PERF - FILES_PER_MINUTE: 0.03, Total_Files=2, Elapsed_Time=4244.78s
2025-06-23 14:13:18,086 - PERF - FILES_PER_MINUTE: 0.03, Total_Files=2, Elapsed_Time=4244.78s
2025-06-23 14:13:18,132 - PERF - PERIODIC_METRICS: CPU=0.41%, Memory=23.07MB, Files/min=0.03
2025-06-23 14:13:18,132 - PERF - PERIODIC_METRICS: CPU=0.41%, Memory=23.07MB, Files/min=0.03
2025-06-23 14:13:18,132 - PERF - PERIODIC_METRICS: CPU=0.41%, Memory=23.07MB, Files/min=0.03
2025-06-23 14:13:18,132 - PERF - PERIODIC_METRICS: CPU=0.41%, Memory=23.07MB, Files/min=0.03
2025-06-23 14:13:18,132 - PERF - PERIODIC_METRICS: CPU=0.41%, Memory=23.07MB, Files/min=0.03
2025-06-23 14:13:18,132 - PERF - PERIODIC_METRICS: CPU=0.41%, Memory=23.07MB, Files/min=0.03
2025-06-23 14:13:18,132 - PERF - PERIODIC_METRICS: CPU=0.41%, Memory=23.07MB, Files/min=0.03
2025-06-23 14:14:14,057 - PERF - FILES_PER_MINUTE: 0.03, Total_Files=2, Elapsed_Time=4300.76s
2025-06-23 14:14:14,057 - PERF - FILES_PER_MINUTE: 0.03, Total_Files=2, Elapsed_Time=4300.76s
2025-06-23 14:14:14,057 - PERF - FILES_PER_MINUTE: 0.03, Total_Files=2, Elapsed_Time=4300.76s
2025-06-23 14:14:14,057 - PERF - FILES_PER_MINUTE: 0.03, Total_Files=2, Elapsed_Time=4300.76s
2025-06-23 14:14:14,057 - PERF - FILES_PER_MINUTE: 0.03, Total_Files=2, Elapsed_Time=4300.76s
2025-06-23 14:14:14,057 - PERF - FILES_PER_MINUTE: 0.03, Total_Files=2, Elapsed_Time=4300.76s
2025-06-23 14:14:14,057 - PERF - FILES_PER_MINUTE: 0.03, Total_Files=2, Elapsed_Time=4300.76s
2025-06-23 14:14:14,057 - PERF - FILES_PER_MINUTE: 0.03, Total_Files=2, Elapsed_Time=4300.76s
2025-06-23 14:14:14,057 - PERF - FILES_PER_MINUTE: 0.03, Total_Files=2, Elapsed_Time=4300.76s
2025-06-23 14:14:14,057 - PERF - FILES_PER_MINUTE: 0.03, Total_Files=2, Elapsed_Time=4300.76s
2025-06-23 14:14:14,911 - PERF - PERIODIC_METRICS: CPU=3.61%, Memory=113.20MB, Files/min=0.03
2025-06-23 14:14:14,911 - PERF - PERIODIC_METRICS: CPU=3.61%, Memory=113.20MB, Files/min=0.03
2025-06-23 14:14:14,911 - PERF - PERIODIC_METRICS: CPU=3.61%, Memory=113.20MB, Files/min=0.03
2025-06-23 14:14:14,911 - PERF - PERIODIC_METRICS: CPU=3.61%, Memory=113.20MB, Files/min=0.03
2025-06-23 14:14:14,911 - PERF - PERIODIC_METRICS: CPU=3.61%, Memory=113.20MB, Files/min=0.03
2025-06-23 14:14:14,911 - PERF - PERIODIC_METRICS: CPU=3.61%, Memory=113.20MB, Files/min=0.03
2025-06-23 14:14:14,911 - PERF - PERIODIC_METRICS: CPU=3.61%, Memory=113.20MB, Files/min=0.03
2025-06-23 14:14:14,911 - PERF - PERIODIC_METRICS: CPU=3.61%, Memory=113.20MB, Files/min=0.03
